agro_industry_and_commerce,20,24
air_conditioning,2,27
art,17,16
arts_and_craftmanship,10,5
audio,3,30
auto,13,254
baby,2,200
bed_bath_table,2,759
books_general_interest,3,41
books_general_interest,11,41
books_imported,16,6
books_technical,2,26
cds_dvds_musicals,11,4
christmas_supplies,21,21
cine_photo,2,12
computers,16,24
computers_accessories,2,818
consoles_games,2,76
consoles_games,13,76
construction_tools_construction,2,70
construction_tools_lights,19,27
construction_tools_safety,2,19
cool_stuff,2,287
costruction_tools_garden,16,24
costruction_tools_tools,2,9
costruction_tools_tools,16,9
diapers_and_hygiene,23,6
drinks,16,39
dvds_blu_ray,20,6
electronics,2,252
fashio_female_clothing,3,6
fashio_female_clothing,10,6
fashio_female_clothing,11,6
fashio_female_clothing,16,6
fashion_bags_accessories,2,155
fashion_childrens_clothes,4,2
fashion_childrens_clothes,17,2
fashion_male_clothing,15,11
fashion_male_clothing,19,11
fashion_shoes,13,29
fashion_sport,2,8
fashion_underwear_beach,13,14
fixed_telephony,2,27
flowers,3,6
food,2,47
food_drink,2,30
furniture_bedroom,3,16
furniture_decor,2,611
furniture_living_room,2,39
furniture_living_room,20,39
furniture_mattress_and_upholstery,2,4
furniture_mattress_and_upholstery,18,4
furniture_mattress_and_upholstery,20,4
garden_tools,2,375
health_beauty,2,635
health_beauty,16,635
home_appliances,16,57
home_appliances_2,13,17
home_comfort_2,19,5
home_confort,2,36
home_construction,18,41
housewares,2,450
industry_commerce_and_business,12,21
kitchen_dining_laundry_garden_furniture,16,24
la_cuisine,18,3
luggage_accessories,17,77
market_place,2,32
music,14,5
musical_instruments,16,48
musical_instruments,18,48
office_furniture,2,186
party_supplies,2,5
party_supplies,15,5
perfumery,2,226
pet_shop,2,126
security_and_services,4,1
security_and_services,11,1
signaling_and_security,2,18
small_appliances,13,52
small_appliances_home_oven_and_coffee,16,10
sports_leisure,2,696
stationery,2,186
tablets_printing_image,2,7
telephony,2,371
toys,16,251
watches_gifts,16,363
